,unique_id,ds,y,y_pred
278,SKU_02,2024-06-25,566.0,473.01978
279,SKU_02,2024-06-26,430.0,462.0822
280,SKU_02,2024-06-27,378.0,482.6975
281,SKU_02,2024-06-28,361.0,370.80737
282,SKU_02,2024-06-29,56.0,65.47375
283,SKU_02,2024-06-30,49.0,51.670303
284,SKU_02,2024-07-01,424.0,738.1156
285,SKU_02,2024-07-02,407.0,730.49884
286,SKU_02,2024-07-03,436.0,728.043
287,SKU_02,2024-07-04,468.0,675.3639
288,SKU_02,2024-07-05,403.0,578.0286
289,SKU_02,2024-07-06,87.0,95.82797
290,SKU_02,2024-07-07,61.0,83.30651
291,SKU_02,2024-07-08,481.0,662.2326
292,SKU_02,2024-07-09,366.0,648.6623
293,SKU_02,2024-07-10,442.0,611.36383
294,SKU_02,2024-07-11,497.0,616.57
295,SKU_02,2024-07-12,440.0,524.1697
296,SKU_02,2024-07-13,66.0,99.198204
297,SKU_02,2024-07-14,66.0,87.4855
298,SKU_02,2024-07-15,470.0,535.7313
299,SKU_02,2024-07-16,553.0,530.5157
300,SKU_02,2024-07-17,578.0,477.67377
301,SKU_02,2024-07-18,758.0,541.48175
302,SKU_02,2024-07-19,390.0,446.96347
303,SKU_02,2024-07-20,108.0,86.32326
304,SKU_02,2024-07-21,52.0,78.01816
305,SKU_02,2024-07-22,462.0,499.2296
306,SKU_02,2024-07-23,676.0,485.3751
307,SKU_02,2024-07-24,593.0,477.14316
308,SKU_02,2024-07-25,562.0,495.4767
309,SKU_02,2024-07-26,494.0,430.6768
310,SKU_02,2024-07-27,114.0,82.29777
311,SKU_02,2024-07-28,63.0,57.446247
312,SKU_02,2024-07-29,645.0,552.3588
313,SKU_02,2024-07-30,621.0,559.37
314,SKU_02,2024-07-31,559.0,494.61954
315,SKU_02,2024-08-01,544.0,646.02094
316,SKU_02,2024-08-02,538.0,579.0691
317,SKU_02,2024-08-03,192.0,97.796394
318,SKU_02,2024-08-04,64.0,95.27084
319,SKU_02,2024-08-05,560.0,639.24133
320,SKU_02,2024-08-06,627.0,606.5404
321,SKU_02,2024-08-07,638.0,556.1118
322,SKU_02,2024-08-08,533.0,565.4974
323,SKU_02,2024-08-09,495.0,486.5973
324,SKU_02,2024-08-10,122.0,91.60334
325,SKU_02,2024-08-11,79.0,83.71804
326,SKU_02,2024-08-12,658.0,567.6787
327,SKU_02,2024-08-13,621.0,578.7133
328,SKU_02,2024-08-14,474.0,493.50586
329,SKU_02,2024-08-15,470.0,484.19937
330,SKU_02,2024-08-16,397.0,472.6124
331,SKU_02,2024-08-17,82.0,93.555016
332,SKU_02,2024-08-18,77.0,85.88386
333,SKU_02,2024-08-19,503.0,519.04895
334,SKU_02,2024-08-20,569.0,504.40372
335,SKU_02,2024-08-21,491.0,468.43002
336,SKU_02,2024-08-22,488.0,493.81262
337,SKU_02,2024-08-23,383.0,453.34286
338,SKU_02,2024-08-24,72.0,80.4398
339,SKU_02,2024-08-25,51.0,64.9836
340,SKU_02,2024-08-26,603.0,516.68274
341,SKU_02,2024-08-27,509.0,496.80807
342,SKU_02,2024-08-28,485.0,490.7984
343,SKU_02,2024-08-29,356.0,508.63165
344,SKU_02,2024-08-30,315.0,445.82455
345,SKU_02,2024-08-31,44.0,66.17625
346,SKU_02,2024-09-01,29.0,62.476406
347,SKU_02,2024-09-02,350.0,629.80066
348,SKU_02,2024-09-03,497.0,635.4488
349,SKU_02,2024-09-04,653.0,550.0869
350,SKU_02,2024-09-05,468.0,479.8312
351,SKU_02,2024-09-06,461.0,498.01712
352,SKU_02,2024-09-07,57.0,74.09115
353,SKU_02,2024-09-08,43.0,65.69668
354,SKU_02,2024-09-09,519.0,549.48444
355,SKU_02,2024-09-10,452.0,541.7711
356,SKU_02,2024-09-11,494.0,500.56927
357,SKU_02,2024-09-12,481.0,502.3135
358,SKU_02,2024-09-13,426.0,438.05417
359,SKU_02,2024-09-14,60.0,90.64963
360,SKU_02,2024-09-15,61.0,69.10044
361,SKU_02,2024-09-16,443.0,441.7652
362,SKU_02,2024-09-17,514.0,444.59503
363,SKU_02,2024-09-18,589.0,392.82776
364,SKU_03,2023-09-21,131.0,109.249535
