,unique_id,ds,y,dia,feriado,dia_da_semana,semana,mes,max_outliers,min_outliers,feriado_lag-3,feriado_lag-2,feriado_lag-1,feriado_lag1,feriado_lag2,feriado_lag3,dia_da_semana_sin,dia_da_semana_cos,mes_sin,mes_cos,y_lag,pandemia
68,SKU_02,2020-03-08,29.0,8,0,7,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,19.0,0
69,SKU_02,2020-03-09,354.0,9,0,1,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,233.0,0
70,SKU_02,2020-03-10,284.0,10,0,2,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,180.0,0
71,SKU_02,2020-03-11,284.0,11,0,3,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,218.0,0
72,SKU_02,2020-03-12,320.0,12,0,4,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,222.0,0
73,SKU_02,2020-03-13,383.0,13,0,5,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,115.0,0
74,SKU_02,2020-03-14,122.0,14,0,6,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,28.0,0
75,SKU_02,2020-03-15,78.0,15,0,7,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,29.0,0
76,SKU_02,2020-03-16,423.0,16,0,1,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,198.0,0
77,SKU_02,2020-03-17,370.0,17,0,2,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,218.0,0
78,SKU_02,2020-03-18,174.0,18,0,3,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,146.0,0
79,SKU_02,2020-03-19,180.0,19,0,4,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,160.0,1
80,SKU_02,2020-03-20,60.0,20,0,5,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,167.0,1
81,SKU_02,2020-03-21,21.0,21,0,6,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,46.0,1
82,SKU_02,2020-03-22,5.0,22,0,7,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,19.0,1
83,SKU_02,2020-03-23,38.0,23,0,1,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,192.0,1
84,SKU_02,2020-03-24,33.0,24,0,2,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,159.0,1
